,video_id,channel_id
23,cnril81nZbQ,UCZm4hXoFy5ynSaGXVfP-NGQ
24,91ZunNmQpAw,UCx3LKgU243gC-kKhhFD4NWQ
25,UDv1NOiLacA,No Data
26,9U-CRsPd4ME,UC27RIvOR7ev2zl6ZkkxOjHg
27,bw-5XM5iOdY,UCWxCyZibDIWIrGIgP25mbfw
28,Zcz-B4O1VRs,UCkkxn2ldlFUMupTlXU8meAw
29,2xBd8yabhIA,No Data
0,4uTNVumfm84,UCN1hnUccO4FD5WfM7ithXaw
1,CK-3vr2KrYk,No Data
2,xmupkoVfUnQ,No Data
3,TlcWShTICF8,No Data
4,wQtcp2r8U9Q,No Data
5,TwoaYQFdvWY,UC5PBnSG7C0WXp5gjd4bzKtw
6,ky4OYOJVtAw,No Data
7,aKloNmy1oNo,UCSoEDFXaMcHbAlWlduce2eg
8,2d0E2WcixgI,UCvtbgZXQEGo1pxa-PkMP98A
9,QcBcYdZ_RZM,No Data
10,iORK8aJb058,No Data
11,hyglh5FHuPg,UCGL2699xGK-6p0AAnTVS5-g
12,58YKbW8sYOQ,No Data
13,l6wi_c5WOCc,UCbD8EppRX3ZwJSou-TVo90A
14,2iOoovejpZ4,No Data
15,AiwztlqOJz0,UCdIg25jnHpfVpnHNoCakU4Q
16,fjOwPHPJ76E,No Data
17,b2U3DD0gjXA,UCqltwdVS2hLvSjC9eFmfrWg
18,eZhP62wZb08,UCMtFAi84ehTSYSE9XoHefig
19,bATd1FQBzD8,UCuy20QT7kmThd7ZkY0G7DZg
20,OsrlAVbaVCk,UCL4ss3I2WQaWp2sw1SjHi5Q
21,0kR7rIIHNNM,UConaGRzpWrIGU6ALkUASyYg
22,Z6bc9_0AHQg,UCJZE3JknxQq5Qrycx1uz2Sg
23,x2huO11LEY4,UCmxA5dpdT_BVdqFlggHjtTw
24,zhzpS04qzmU,UCryItMG5CX-iF_7OzRTn9SA
25,QnEU-U7D-4g,UCQuVITBfktYveqM3xFIGgyg
26,sTbZaCiI-sE,No Data
27,MKdC-U4ZkN0,UCTWooHSLR-d8BjemF5HzN9g
28,8BYG5ZvHjos,UCi8o8ntuLNTbUgc3VD6i-eQ
29,_E4cdaRu5y4,UCwWhs_6x42TyRM4Wstoq8HA
0,#NAME?,No Data
1,H-jp87Y3ZSY,UCynIYcsBwTrwBIecconPN2A
2,2uQYJSGukls,No Data
3,P6g9k5gaxpM,UCNcQkRqY3_Ozcnlo6STqlAQ
4,Tnkdf5gwM7k,No Data
5,peM89TH3MWs,UCXgaaEw-FRb4HXGo8ka-pfw
6,bexivMvFVq8,No Data
7,oKXWzoawdFE,UC-J0pIKmHc6_chLUCch_wNA
8,grexbDmBpro,UCUzMcAXn1QXeehPWMU57ygg
9,lTV1Y8Mfgwk,UC90kVpd8-p3z19H4UE39zng
10,tYbXvR8Qm28,UCyfIoPNszuAKpeaLobnvYxQ
11,qAVeOtQx-4c,UC55Ugnz0PjMsfyZ1LCFDZTA
12,ZfOjvOcVKhc,UCSzYokfaH2v1521wqrh9fhA
13,BDUaO1QCMSg,No Data
14,limXAUxMFPE,No Data
15,jinurWYblbg,UCDOJkSTUNY3_NKawpkPvjHg
16,7RDK8mShAkk,No Data
17,390U2WHZR_Q,UCynURu72A71GmEVQcsZXcKQ
18,7UrY5jKBwzc,UCFsh-rJiy2S_xuZZMg6ERZg
19,WvdeXCfNEag,No Data
20,_HRhHxfQmyc,No Data
21,WlDDih-9h44,No Data
22,NqMZQEhkPn4,UC9tIbZlzum_-xPfLsNbOwjg
23,6HVBbPJrs20,No Data
24,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
25,0DRGuDnJTyo,No Data
26,QJmV4BQs_yg,No Data
27,vGsQywoE1CA,UCZ7B1oCEDT_d4c9XTtChX7w
28,SqCb6MdbMMQ,No Data
29,EYYvwMSWrGo,No Data
0,KTLNqkwWK7Q,UCoh_z6QB0AGB1oxWufvbDUg
1,GmPC374gL1c,No Data
2,bZ4bvrNE52M,UCe4JoFm4FTM_2_iQO9P5dIg
3,5ChFBgwXRBQ,UCtuyWcm-zDwJB4eHkZaDmGg
4,6fMq-4S2Bhc,UCqEfdEvLG5oQWNYlDQrGlKw
5,HlxM9XNs4R4,No Data
6,FobsaYaC73k,UCI8dCgv5cGNE1CQ3TmSWJOg
7,3mn5eGng8uQ,No Data
8,zdIOiV88lVs,UC7O8RxRMCRilg0ucaNxGE9A
9,y7119xDeVAM,UC1lgJkpCx_0SMzsvrTCdxPw
10,psu1430zRsA,UCD7-Ocp4InwPKzwiq_U-Abg
11,lD3iSD9kg94,UCqAbcgEp4NqCRnLG3NVJezw
12,A04PARdtEss,UCad4VUyyzWqenlkjfCTQ47A
13,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
14,ij13ux8rK9k,No Data
15,6niuasak0AY,No Data
16,hNg2uOe28ak,UCXteDRy5qB0IjA8WPusCJ7w
17,VV7LMEbd1Es,UC14QT5j2nQI8lKBCGtrrBQA
18,EBK5N6al6bo,No Data
19,LTJKYH3OG70,No Data
20,sC32d0BmcJk,UCrR3bHE6ZJ30YUUTl-G2RVg
21,W9g0-vPBkXc,UC3wEaRK3h93UehXbg9YRcmQ
22,bAjxXtN81n8,UCJk8dZsM8SIGzIBJ-rDcB3Q
23,UaGK8MCVZyE,UCMo5MECD5pwhUVLaMqZo5Xg
24,OaTGK4rZr1g,No Data
25,ishsnPy0XOU,UCIfuY0NRq1szr_6tzFy23NQ
26,z0RPAaITyyg,UCSkLRGGIGKOtinamhcy_42g
27,B80CK49etK0,No Data
28,Hv18-l6kESg,UCljYHFazflmGaDr5Lo90KmA
