,video_id,channel_id
580,sC32d0BmcJk,UCrR3bHE6ZJ30YUUTl-G2RVg
582,fnYoI_k8NJ8,UCdpwrfzRHaxrYl4cehVgjwg
584,e3tfB8rVFEs,UCIdvUcYF5CmtYlTn_zhmJGA
586,fxR481atdX0,UCIcWsDvtbC5b8I_Z0Q5T6sA
587,8fS2WUnp5no,UCu6wvIjEus6kAIyrUGHbzxw
588,A04PARdtEss,UCad4VUyyzWqenlkjfCTQ47A
590,5CuAwgdYnOA,UCMtFAi84ehTSYSE9XoHefig
592,6d-enLu13IY,UC9TSfpyxg_-3jG-eqDI2_RQ
593,uSe_AetsQ-o,UCI5pX--ky1-KE8xu5ybTq2Q
596,VV7LMEbd1Es,UC14QT5j2nQI8lKBCGtrrBQA
598,eNGSD_L3Jng,UC2TCPeRl66OCXYXLIsQpd-A
599,UaGK8MCVZyE,UCMo5MECD5pwhUVLaMqZo5Xg
601,J9r7Agjotj0,UCT3eZqObkieYvtrTncLnoog
602,CGtxxjonYo8,UC4arQnli3ffEuCSrSgAD_Ug
603,LOvOqm2TyU4,UC9lGDYAowYIQCwXnTRv3meg
606,HYxw9ecfnzE,UCVMvBhhCs_jZTGlHFI6Fh7w
607,T2A6X6b7BEk,UCuzZthEW8I4DIcffs-T_46Q
608,uHc2XcXfoTQ,UCMcWosflbve0JX78FFdJcCA
609,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
611,W8vgIXxJRtc,UCutJqz56653xV2wwSvut_hQ
612,G06gCDESJzk,UCgMPP6RRjktV7krOfyUewqw
617,DXkHvEVCF14,UCfVqLqmH2M9V-jlxGipZSGA
618,cvMURFcXFlE,UCQUdNis13Y2bXiV7fssSNCg
620,F1dFrQZV47M,UCroloVlHKUnvOMn5MtuvyDg
622,ZTH24m5FGpA,UCibEhpu5HP45-w7Bq1ZIulw
625,ioGBaVRmBbY,UCgOfjIl0I_oG7VxIoaKaRsw
626,vO1jrCodB7Y,UCRVruzlQF5cqpw9jQgIgNdw
627,K4nn6HcNmjw,UCx2eWrQGKO2IvTVjho3BeKw
628,W9g0-vPBkXc,UC3wEaRK3h93UehXbg9YRcmQ
629,1zO5G5b7wY4,UCxpIo6FFB7gMQz2Fy2X8XdQ
630,VucNf2yaB3U,UCUndCm0YDFKtKHNDvG2cE2Q
631,Dgw4I9xNWys,UCfodSug0zXKfd8HpSay9JBg
633,kp7qer4jm40,UCIRfNQcAO0Te-3abudINbJA
634,yQ8WUlG377g,UCpOjLndjOqMoffA-fr8cbKA
635,ThqM787fU2g,UCzXjPL7zo0bxhOYDxLJ9YEg
637,IWhoDwKDzfc,UCRgOqI54g1VqnQnwIB6WPSA
639,V08ZJhPApb4,UCSeDpnnXFVbLEbbvFvEEqKA
640,DIG81rLWP-M,UClX3YSREJp3ELuv2wFAYOzA
642,ZRHwCmz_aNE,UCyo6aLuDHbUoNTv-NR-Y0NA
643,hNg2uOe28ak,UCXteDRy5qB0IjA8WPusCJ7w
644,DaAp7p3ZkIs,UC1pHFqCMAIHP8gr4lYGtNLA
645,LACtFriivb4,UCLO1yCo0gDgpXhyM0fXfXXA
648,bAjxXtN81n8,UCJk8dZsM8SIGzIBJ-rDcB3Q
649,ysZzMUvlyJw,UC2hA-6M66dE2Tt_4xM8K9wQ
650,SG4pAQDt3qk,UCY5fcqgSrQItPAX_Z5Frmwg
651,ICaWQtg9i24,UCGbOTPDlBwkN-4N85dK6U7Q
653,bRP-wmdG-fA,UCaT2L0VybZmhQNbrr4gwnTQ
654,J-aR8HdTpS4,UCqAbcgEp4NqCRnLG3NVJezw
655,HzX5JEUlraI,UCG4fqU419F_vnBkIfSyR9Yg
